filename,clean_filename,hour,minute,second
06_25_56_00000_ana_square_arctic_frost.png,06_25_56_00000_ana_clean_square_arctic_frost.png,6,25,56
10_51_15_00001_ana_square_desert_terracotta.png,10_51_15_00001_ana_clean_square_desert_terracotta.png,10,51,15
11_12_47_00002_ana_dynamic_industrial_alert.png,11_12_47_00002_ana_clean_dynamic_industrial_alert.png,11,12,47
19_40_03_00003_ana_dynamic_pastel_dream.png,19_40_03_00003_ana_clean_dynamic_pastel_dream.png,19,40,3
18_08_23_00004_ana_square_slate_teal.png,18_08_23_00004_ana_clean_square_slate_teal.png,18,8,23
16_46_11_00005_ana_dynamic_desert_terracotta.png,16_46_11_00005_ana_clean_dynamic_desert_terracotta.png,16,46,11
01_16_17_00006_ana_square_desert_terracotta.png,01_16_17_00006_ana_clean_square_desert_terracotta.png,1,16,17
20_36_48_00007_ana_dynamic_desert_terracotta.png,20_36_48_00007_ana_clean_dynamic_desert_terracotta.png,20,36,48
22_06_43_00008_ana_square_industrial_alert.png,22_06_43_00008_ana_clean_square_industrial_alert.png,22,6,43
10_44_21_00009_ana_dynamic_arctic_frost.png,10_44_21_00009_ana_clean_dynamic_arctic_frost.png,10,44,21
09_17_40_00010_ana_dynamic_industrial_alert.png,09_17_40_00010_ana_clean_dynamic_industrial_alert.png,9,17,40
11_28_21_00011_ana_square_royal_velvet.png,11_28_21_00011_ana_clean_square_royal_velvet.png,11,28,21
17_05_40_00012_ana_dynamic_deep_forest.png,17_05_40_00012_ana_clean_dynamic_deep_forest.png,17,5,40
15_25_47_00013_ana_square_synthwave_sunset.png,15_25_47_00013_ana_clean_square_synthwave_sunset.png,15,25,47
02_47_58_00014_ana_dynamic_deep_forest.png,02_47_58_00014_ana_clean_dynamic_deep_forest.png,2,47,58
23_34_17_00015_ana_square_standard_classic.png,23_34_17_00015_ana_clean_square_standard_classic.png,23,34,17
04_18_56_00016_ana_dynamic_royal_velvet.png,04_18_56_00016_ana_clean_dynamic_royal_velvet.png,4,18,56
05_18_37_00017_ana_dynamic_royal_velvet.png,05_18_37_00017_ana_clean_dynamic_royal_velvet.png,5,18,37
04_51_54_00018_ana_square_pastel_dream.png,04_51_54_00018_ana_clean_square_pastel_dream.png,4,51,54
