filename,hour,minute,second
16_04_31_00000_dig_simple.png,16,4,31
00_16_19_00001_dig_simple.png,0,16,19
18_52_32_00002_dig_lcd.png,18,52,32
09_20_39_00003_dig_lcd.png,9,20,39
01_41_02_00004_dig_simple.png,1,41,2
17_38_11_00005_dig_simple.png,17,38,11
12_12_47_00006_dig_simple.png,12,12,47
02_57_38_00007_dig_lcd.png,2,57,38
02_36_34_00008_dig_lcd.png,2,36,34
14_50_52_00009_dig_simple.png,14,50,52
06_16_08_00010_dig_simple.png,6,16,8
09_24_56_00011_dig_segmented.png,9,24,56
23_29_19_00012_dig_lcd.png,23,29,19
09_36_41_00013_dig_lcd.png,9,36,41
23_49_05_00014_dig_segmented.png,23,49,5
01_18_51_00015_dig_simple.png,1,18,51
21_42_27_00016_dig_lcd.png,21,42,27
20_32_18_00017_dig_lcd.png,20,32,18
21_34_02_00018_dig_lcd.png,21,34,2
12_31_05_00019_dig_lcd.png,12,31,5
22_57_39_00020_dig_segmented.png,22,57,39
14_53_37_00021_dig_lcd.png,14,53,37
09_36_41_00022_dig_segmented.png,9,36,41
11_25_51_00023_dig_simple.png,11,25,51
13_37_42_00024_dig_segmented.png,13,37,42
05_13_37_00025_dig_segmented.png,5,13,37
08_02_49_00026_dig_lcd.png,8,2,49
20_16_08_00027_dig_simple.png,20,16,8
15_31_23_00028_dig_simple.png,15,31,23
09_12_03_00029_dig_segmented.png,9,12,3
15_02_01_00030_dig_lcd.png,15,2,1
21_28_01_00031_dig_lcd.png,21,28,1
04_26_31_00032_dig_segmented.png,4,26,31
18_25_47_00033_dig_simple.png,18,25,47
06_48_03_00034_dig_segmented.png,6,48,3
21_22_59_00035_dig_lcd.png,21,22,59
14_29_52_00036_dig_lcd.png,14,29,52
07_35_43_00037_dig_lcd.png,7,35,43
15_03_16_00038_dig_segmented.png,15,3,16
12_13_30_00039_dig_segmented.png,12,13,30
21_35_30_00040_dig_simple.png,21,35,30
07_31_35_00041_dig_segmented.png,7,31,35
06_16_08_00042_dig_simple.png,6,16,8
02_51_15_00043_dig_lcd.png,2,51,15
11_31_18_00044_dig_segmented.png,11,31,18
23_42_19_00045_dig_simple.png,23,42,19
12_49_52_00046_dig_lcd.png,12,49,52
03_47_17_00047_dig_simple.png,3,47,17
22_12_38_00048_dig_lcd.png,22,12,38
01_47_06_00049_dig_lcd.png,1,47,6
04_26_31_00050_dig_segmented.png,4,26,31
22_32_24_00051_dig_segmented.png,22,32,24
17_38_11_00052_dig_segmented.png,17,38,11
02_16_00_00053_dig_simple.png,2,16,0
16_07_40_00054_dig_simple.png,16,7,40
08_36_49_00055_dig_simple.png,8,36,49
11_34_46_00056_dig_simple.png,11,34,46
20_55_15_00057_dig_simple.png,20,55,15
07_01_36_00058_dig_segmented.png,7,1,36
06_40_54_00059_dig_segmented.png,6,40,54
15_14_33_00060_dig_lcd.png,15,14,33
06_33_33_00061_dig_lcd.png,6,33,33
07_53_31_00062_dig_segmented.png,7,53,31
17_44_32_00063_dig_lcd.png,17,44,32
17_37_04_00064_dig_lcd.png,17,37,4
12_49_52_00065_dig_lcd.png,12,49,52
12_24_07_00066_dig_lcd.png,12,24,7
14_16_23_00067_dig_lcd.png,14,16,23
04_46_20_00068_dig_simple.png,4,46,20
20_16_08_00069_dig_segmented.png,20,16,8
00_04_20_00070_dig_simple.png,0,4,20
05_27_32_00071_dig_lcd.png,5,27,32
00_08_23_00072_dig_segmented.png,0,8,23
20_16_08_00073_dig_simple.png,20,16,8
12_12_47_00074_dig_segmented.png,12,12,47
14_10_37_00075_dig_segmented.png,14,10,37
06_29_58_00076_dig_simple.png,6,29,58
04_37_14_00077_dig_simple.png,4,37,14
23_52_13_00078_dig_simple.png,23,52,13
20_42_24_00079_dig_lcd.png,20,42,24
05_34_09_00080_dig_segmented.png,5,34,9
22_59_32_00081_dig_simple.png,22,59,32
01_26_54_00082_dig_simple.png,1,26,54
03_05_48_00083_dig_simple.png,3,5,48
12_13_30_00084_dig_segmented.png,12,13,30
18_12_37_00085_dig_segmented.png,18,12,37
09_09_06_00086_dig_simple.png,9,9,6
23_05_20_00087_dig_simple.png,23,5,20
14_50_52_00088_dig_segmented.png,14,50,52
09_31_45_00089_dig_simple.png,9,31,45
12_49_52_00090_dig_segmented.png,12,49,52
22_57_39_00091_dig_segmented.png,22,57,39
00_51_28_00092_dig_lcd.png,0,51,28
18_09_10_00093_dig_simple.png,18,9,10
08_27_22_00094_dig_lcd.png,8,27,22
16_44_25_00095_dig_segmented.png,16,44,25
18_12_37_00096_dig_segmented.png,18,12,37
03_42_31_00097_dig_simple.png,3,42,31
12_15_41_00098_dig_simple.png,12,15,41
19_06_18_00099_dig_segmented.png,19,6,18
19_04_18_00100_dig_lcd.png,19,4,18
16_28_50_00101_dig_lcd.png,16,28,50
01_41_10_00102_dig_simple.png,1,41,10
02_29_53_00103_dig_segmented.png,2,29,53
16_47_14_00104_dig_segmented.png,16,47,14
03_21_56_00105_dig_simple.png,3,21,56
