epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8678,1.16104,2.37967,1.12366,0.85814,0.82626,0.89027,0.66164,0.92941,1.03995,1.02118,0.000207862,0.000207862,0.000207862
2,192.997,0.99681,1.21261,1.04801,0.90307,0.87337,0.92786,0.69906,0.8906,0.88968,1.00132,0.000407955,0.000407955,0.000407955
3,286.22,0.96484,1.05438,1.03287,0.93603,0.89795,0.94381,0.70862,0.887,0.76905,1.00769,0.000599797,0.000599797,0.000599797
4,409.954,0.9419,0.94762,1.02128,0.93412,0.91706,0.95451,0.72011,0.86755,0.6694,1.00089,0.000587875,0.000587875,0.000587875
5,516.398,0.91765,0.87568,1.01518,0.93433,0.91737,0.95248,0.72498,0.84547,0.63881,0.99683,0.0005755,0.0005755,0.0005755
6,608.514,0.89788,0.82804,1.00551,0.95311,0.91863,0.96252,0.74553,0.81463,0.57484,0.97759,0.000563125,0.000563125,0.000563125
7,700.731,0.88562,0.79424,1.00201,0.9563,0.93273,0.96505,0.74345,0.82294,0.54376,0.98232,0.00055075,0.00055075,0.00055075
8,792.989,0.87078,0.76415,0.99752,0.94736,0.93949,0.96697,0.74403,0.81578,0.53428,0.97627,0.000538375,0.000538375,0.000538375
9,885.187,0.85768,0.73707,0.99119,0.95846,0.93978,0.97035,0.75447,0.79731,0.49256,0.97239,0.000526,0.000526,0.000526
10,977.263,0.84481,0.70869,0.98456,0.97138,0.92979,0.9691,0.75047,0.81073,0.48884,0.9787,0.000513625,0.000513625,0.000513625
11,1069.51,0.83754,0.70002,0.98562,0.96566,0.944,0.97631,0.76952,0.78179,0.45929,0.96487,0.00050125,0.00050125,0.00050125
12,1161.79,0.82993,0.67553,0.98213,0.97474,0.93767,0.97234,0.76285,0.78117,0.45796,0.96025,0.000488875,0.000488875,0.000488875
13,1253.78,0.82368,0.6674,0.98007,0.96521,0.94501,0.97475,0.76469,0.77936,0.45124,0.96489,0.0004765,0.0004765,0.0004765
14,1346.09,0.81275,0.64613,0.97542,0.9743,0.93884,0.9756,0.7698,0.76985,0.4357,0.96042,0.000464125,0.000464125,0.000464125
15,1438.28,0.80201,0.63188,0.97147,0.96894,0.9443,0.97237,0.75397,0.78652,0.44475,0.96455,0.00045175,0.00045175,0.00045175
16,1530.44,0.79857,0.62486,0.97179,0.96638,0.94707,0.97467,0.77334,0.76677,0.4305,0.95435,0.000439375,0.000439375,0.000439375
17,1622.9,0.80216,0.62025,0.97192,0.95931,0.94614,0.97241,0.77174,0.75747,0.43158,0.95108,0.000427,0.000427,0.000427
18,1715.19,0.79136,0.60804,0.96815,0.96946,0.9457,0.97664,0.77281,0.75664,0.41522,0.95506,0.000414625,0.000414625,0.000414625
19,1807.44,0.78313,0.60398,0.96626,0.96431,0.94326,0.97418,0.77518,0.74849,0.41284,0.94957,0.00040225,0.00040225,0.00040225
20,1899.88,0.77476,0.58704,0.96351,0.97762,0.94398,0.97661,0.77599,0.74841,0.40259,0.95435,0.000389875,0.000389875,0.000389875
21,1992.05,0.77851,0.58375,0.96448,0.98014,0.94654,0.97653,0.77726,0.74573,0.39685,0.95102,0.0003775,0.0003775,0.0003775
22,2084.6,0.76775,0.57575,0.96065,0.96924,0.95165,0.97823,0.78131,0.74102,0.39744,0.95011,0.000365125,0.000365125,0.000365125
23,2176.94,0.76405,0.56554,0.95881,0.97293,0.95239,0.97934,0.78089,0.74673,0.38889,0.95506,0.00035275,0.00035275,0.00035275
24,2269.23,0.75924,0.56435,0.9596,0.97797,0.95649,0.98008,0.78675,0.72888,0.37627,0.95194,0.000340375,0.000340375,0.000340375
25,2361.71,0.75241,0.55353,0.9573,0.96921,0.95492,0.97944,0.7852,0.73304,0.38319,0.94596,0.000328,0.000328,0.000328
26,2454.04,0.74813,0.54872,0.95339,0.97621,0.94971,0.97846,0.78777,0.72532,0.3788,0.94079,0.000315625,0.000315625,0.000315625
27,2546.55,0.74769,0.5476,0.95511,0.9748,0.95352,0.98137,0.79156,0.71898,0.36838,0.94291,0.00030325,0.00030325,0.00030325
28,2639.02,0.73821,0.53911,0.95132,0.96946,0.95253,0.97881,0.78899,0.72061,0.37585,0.94288,0.000290875,0.000290875,0.000290875
29,2731.31,0.73037,0.52963,0.94844,0.97069,0.9568,0.98114,0.79137,0.71606,0.36203,0.9413,0.0002785,0.0002785,0.0002785
30,2823.49,0.72839,0.52275,0.94819,0.97538,0.95213,0.98106,0.78984,0.71932,0.35749,0.93784,0.000266125,0.000266125,0.000266125
31,2915.76,0.72911,0.5243,0.9497,0.97646,0.94819,0.98022,0.79345,0.71333,0.36429,0.93314,0.00025375,0.00025375,0.00025375
32,3007.87,0.72198,0.51335,0.94559,0.97394,0.95022,0.98045,0.79477,0.70693,0.35434,0.93352,0.000241375,0.000241375,0.000241375
33,3099.88,0.71981,0.51356,0.94545,0.97536,0.9529,0.98175,0.79485,0.70683,0.35113,0.93094,0.000229,0.000229,0.000229
34,3191.74,0.71514,0.50594,0.94293,0.97556,0.95416,0.98142,0.79711,0.70273,0.34913,0.9325,0.000216625,0.000216625,0.000216625
35,3283.42,0.70551,0.49476,0.93851,0.97353,0.95062,0.98033,0.79405,0.71254,0.35199,0.93854,0.00020425,0.00020425,0.00020425
36,3374.95,0.70876,0.49065,0.93978,0.97331,0.95378,0.98094,0.7966,0.7047,0.34952,0.92983,0.000191875,0.000191875,0.000191875
37,3466.6,0.70529,0.49232,0.93945,0.97819,0.95301,0.98099,0.79755,0.69819,0.34483,0.92913,0.0001795,0.0001795,0.0001795
38,3559.9,0.70015,0.48922,0.93813,0.97492,0.95929,0.98178,0.79867,0.69499,0.3366,0.93109,0.000167125,0.000167125,0.000167125
39,3652.16,0.70372,0.48809,0.9375,0.97147,0.95565,0.98056,0.80043,0.69783,0.34334,0.92966,0.00015475,0.00015475,0.00015475
40,3744.09,0.70021,0.48253,0.93653,0.9753,0.95454,0.98114,0.79817,0.69558,0.33714,0.92911,0.000142375,0.000142375,0.000142375
41,3831.4,0.64961,0.35233,0.9061,0.97594,0.9561,0.98255,0.80069,0.69551,0.34295,0.93026,0.00013,0.00013,0.00013
42,3918.51,0.64278,0.34561,0.90483,0.96802,0.96431,0.98227,0.79951,0.695,0.33526,0.93197,0.000117625,0.000117625,0.000117625
43,4005.66,0.63451,0.34161,0.90088,0.97292,0.95957,0.98209,0.8023,0.69222,0.32921,0.93055,0.00010525,0.00010525,0.00010525
44,4093.19,0.63059,0.33594,0.90139,0.97514,0.95646,0.98298,0.80251,0.68986,0.32751,0.92753,9.2875e-05,9.2875e-05,9.2875e-05
45,4180.48,0.62482,0.33118,0.89863,0.97398,0.95585,0.98294,0.80317,0.68716,0.3274,0.93236,8.05e-05,8.05e-05,8.05e-05
46,4267.8,0.61814,0.32938,0.89653,0.97611,0.95466,0.98266,0.80438,0.68806,0.32458,0.92728,6.8125e-05,6.8125e-05,6.8125e-05
47,4354.85,0.61351,0.32226,0.89696,0.97317,0.95789,0.98295,0.80613,0.68397,0.3203,0.92937,5.575e-05,5.575e-05,5.575e-05
48,4442.05,0.60779,0.31943,0.89254,0.97566,0.95738,0.98296,0.80776,0.6783,0.31991,0.92661,4.3375e-05,4.3375e-05,4.3375e-05
49,4529.27,0.60515,0.31848,0.89345,0.96892,0.96325,0.98272,0.8066,0.67829,0.31817,0.92489,3.1e-05,3.1e-05,3.1e-05
50,4616.24,0.60156,0.31525,0.88971,0.96829,0.96379,0.98309,0.80728,0.6796,0.31795,0.9249,1.8625e-05,1.8625e-05,1.8625e-05
