epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,185.951,1.17056,2.43128,1.06653,0.82793,0.82442,0.86354,0.65831,0.8662,1.13481,0.98712,0.00997817,0.00332606,0.00997817,0.00332606,0.00997817,0.00332606,0.00997817,0.00332606
2,352.025,1.01291,1.10367,1.0095,0.92228,0.88822,0.93791,0.75254,0.75587,0.77594,0.96336,0.0196485,0.00654951,0.0196485,0.00654951,0.0196485,0.00654951,0.0196485,0.00654951
3,475.259,1.00646,0.99958,1.01407,0.91692,0.87487,0.93088,0.74029,0.8003,0.78341,0.98267,0.0289889,0.00966296,0.0289889,0.00966296,0.0289889,0.00966296,0.0289889,0.00966296
4,601.873,0.98805,0.93266,1.02471,0.93848,0.91397,0.95099,0.76171,0.75879,0.63746,0.98746,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,727.519,0.92381,0.8112,1.00337,0.93625,0.92917,0.95854,0.79493,0.717,0.52995,0.98003,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,851.707,0.87969,0.74636,0.99111,0.95445,0.93068,0.96278,0.79848,0.69432,0.48435,0.98277,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,975.889,0.84894,0.69143,0.97835,0.96147,0.92786,0.96785,0.81163,0.67031,0.44689,0.95874,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,1102.16,0.82947,0.66295,0.97202,0.96295,0.92681,0.97009,0.82539,0.64686,0.43063,0.94888,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,1226.01,0.80809,0.63235,0.96464,0.95323,0.93247,0.9702,0.81278,0.66489,0.42298,0.95604,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,1350.62,0.78953,0.61443,0.95881,0.95713,0.93308,0.97116,0.82752,0.64681,0.40499,0.94813,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,1482.67,0.7812,0.59992,0.95591,0.96525,0.93693,0.96903,0.8395,0.63093,0.39858,0.94606,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,1612.68,0.76819,0.58593,0.95386,0.96164,0.94125,0.97263,0.84234,0.62269,0.37371,0.94052,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,1736.54,0.75647,0.5703,0.9491,0.97096,0.93835,0.97516,0.84237,0.62347,0.37029,0.93802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,1860.62,0.74786,0.55895,0.94488,0.96625,0.94359,0.97404,0.84855,0.60687,0.35938,0.93583,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,1984.7,0.74046,0.54954,0.94449,0.96011,0.94527,0.97232,0.84672,0.59941,0.35525,0.93559,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,2108.8,0.73025,0.54441,0.94121,0.96154,0.95,0.97623,0.8486,0.60686,0.34206,0.93338,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,2232.63,0.71605,0.53066,0.93549,0.9713,0.9488,0.97764,0.84875,0.6035,0.34648,0.93048,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,2356.28,0.7207,0.53237,0.93656,0.97018,0.94656,0.97528,0.85278,0.60151,0.33853,0.93234,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,2480.05,0.70999,0.52184,0.93386,0.97028,0.94897,0.97482,0.85981,0.58638,0.32985,0.92219,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,2603.79,0.7051,0.51561,0.93236,0.96579,0.94677,0.97317,0.86028,0.58951,0.32989,0.92793,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,2727.11,0.69575,0.5037,0.92939,0.97121,0.95027,0.97803,0.85993,0.58049,0.31421,0.92329,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,2850.6,0.69407,0.50099,0.92983,0.96446,0.95783,0.97857,0.86545,0.5691,0.31498,0.91785,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,2973.97,0.6886,0.49717,0.92694,0.97069,0.9508,0.97669,0.86469,0.57095,0.31049,0.92077,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,3097.3,0.68177,0.49192,0.92555,0.96939,0.9545,0.97843,0.8627,0.57166,0.3097,0.91997,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,3221.07,0.68126,0.48602,0.92405,0.97058,0.96109,0.97889,0.86746,0.56344,0.30036,0.91856,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,3344.99,0.67481,0.47809,0.92358,0.97168,0.95456,0.97807,0.86582,0.56699,0.29959,0.91827,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,3468.9,0.66569,0.47181,0.9193,0.9671,0.95658,0.97784,0.86927,0.5636,0.29833,0.91535,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
