epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,197.337,1.15478,2.36503,1.07918,0.87859,0.84643,0.90513,0.72397,0.77291,1.10814,0.94011,0.00997817,0.00332606,0.00997817,0.00332606,0.00997817,0.00332606,0.00997817,0.00332606
2,370.286,0.96152,1.07164,1.00664,0.92939,0.91084,0.95072,0.76685,0.78601,0.84444,0.92851,0.0195826,0.00652753,0.0195826,0.00652753,0.0195826,0.00652753,0.0195826,0.00652753
3,532.834,0.94889,0.96705,1.01074,0.92174,0.88073,0.92848,0.74632,0.80736,0.83295,0.96952,0.028791,0.00959701,0.028791,0.00959701,0.028791,0.00959701,0.028791,0.00959701
4,694.895,0.93274,0.89015,1.01785,0.94714,0.91031,0.95606,0.78254,0.745,0.62797,0.94553,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,857.077,0.86671,0.76858,0.99728,0.94148,0.92502,0.95983,0.7987,0.70086,0.54307,0.94214,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1019.62,0.825,0.7021,0.98737,0.96258,0.91117,0.96229,0.81042,0.66223,0.47903,0.91358,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1182.29,0.79704,0.65705,0.97643,0.95806,0.92624,0.96924,0.82086,0.64053,0.45134,0.90301,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1345.23,0.77648,0.63009,0.96958,0.94383,0.92003,0.96128,0.82185,0.63666,0.45763,0.90079,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1507.83,0.75286,0.59795,0.96224,0.96061,0.92923,0.97202,0.83272,0.63249,0.41696,0.90735,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1669.97,0.74078,0.58305,0.95671,0.96376,0.93975,0.97339,0.84367,0.61322,0.40767,0.9062,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1832.19,0.72895,0.56542,0.95501,0.95893,0.9442,0.97155,0.83979,0.61678,0.38298,0.89418,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1994.46,0.71621,0.55362,0.95182,0.9658,0.93769,0.97466,0.84876,0.61881,0.3728,0.90442,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2156.94,0.70564,0.5371,0.94878,0.96305,0.94505,0.97529,0.85769,0.59114,0.3649,0.89585,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2325.2,0.69845,0.52988,0.94571,0.96349,0.94767,0.97649,0.85846,0.58297,0.35628,0.89465,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2498.72,0.69175,0.51853,0.94499,0.9642,0.94881,0.97655,0.85467,0.587,0.34239,0.8903,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2668.28,0.68128,0.5133,0.94029,0.96209,0.9535,0.97632,0.86012,0.59018,0.34362,0.89125,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2846.05,0.6693,0.50029,0.93538,0.97054,0.94392,0.97862,0.86068,0.58435,0.34254,0.88494,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3013.44,0.6697,0.49937,0.93662,0.97097,0.94972,0.9783,0.86079,0.58096,0.33056,0.8867,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3180.06,0.66068,0.49044,0.93388,0.96646,0.95257,0.97816,0.86451,0.57313,0.32681,0.89036,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3343.17,0.65674,0.48207,0.93361,0.96519,0.95421,0.97941,0.86579,0.56467,0.31807,0.88183,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3505.6,0.64868,0.47435,0.92786,0.97077,0.95206,0.98035,0.8655,0.56597,0.31225,0.88039,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3687.54,0.64545,0.46806,0.92915,0.97275,0.95181,0.98222,0.86714,0.56466,0.31545,0.87933,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3872.02,0.64054,0.4654,0.92544,0.96982,0.95361,0.98089,0.86724,0.56442,0.31396,0.87861,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4037.1,0.63601,0.46304,0.92482,0.97185,0.95447,0.98138,0.8717,0.55598,0.30881,0.87495,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4199.13,0.63124,0.45378,0.92374,0.97324,0.95893,0.97994,0.87273,0.54804,0.30831,0.8768,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4361.27,0.62477,0.44644,0.92111,0.97357,0.952,0.97986,0.86993,0.54865,0.3035,0.87394,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4523.31,0.61855,0.44236,0.92074,0.97162,0.95997,0.98199,0.87425,0.55124,0.29296,0.87418,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
